time_s,position_m,velocity_mps,velocity_kmh,acceleration_mps2,motor_rpm,torque_left_nm,torque_right_nm,tractive_force_n,rolling_resistance_n,aero_drag_n,grade_force_n,net_force_n,battery_power_kw,mechanical_power_kw,power_limited
0.0,0.0,0.0,0.0,7.233955753586089,0.0,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.0,0.0,1728.9154251070754,0.0,0.0,0.0
0.005,9.042444691982613e-05,0.03616977876793045,0.13021120356454963,7.2339485116673385,6.633300266706068,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.0017308185815681255,0.0,1728.9136942884938,0.07877296736865101,0.07089567063178591,0.0
0.01,0.00036169769715532014,0.07233952132626714,0.2604222767745617,7.233926785940083,13.26659389281006,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.006923267395378906,0.0,1728.90850183968,0.1575458558776229,0.14179127028986063,0.0
0.015,0.0008138193886109069,0.10850915525596755,0.3906329589214832,7.233890576534823,19.899867597134417,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.015577315252483133,0.0,1728.8998477918228,0.23631850780787314,0.21268665702708583,0.0
0.02,0.00144678879709743,0.14467860813864167,0.52084298929911,7.233839883698052,26.533108098621256,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.027692903240832515,0.0,1728.8877322038345,0.31509076544178055,0.2835816888976025,0.0
0.025,0.0022606048363368637,0.18084780755713192,0.651052107205675,7.233774707792257,33.166302116438686,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.043269944726146946,0.0,1728.8721551623494,0.39386247106440747,0.35447622395796674,0.0
0.03,0.0032552660579699263,0.2170166810960932,0.7812600519459355,7.233695049295908,39.79943637008725,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.062308325353253605,0.0,1728.853116781722,0.4726334669647643,0.4253701202682879,0.0
0.035,0.004430770651566591,0.25318515634257277,0.911466562833262,7.233600908803462,46.432497579506204,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.08480790304789781,0.0,1728.8306172040275,0.5514035954370711,0.496263235893364,0.0
0.04,0.005787116444639498,0.2893531608865901,1.0416713791917243,7.23349228702534,53.065472465179894,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.11076850801902555,0.0,1728.8046565990564,0.6301726987820213,0.5671554289038191,0.0
0.045,0.007324300902660266,0.3255206223217168,1.1718742403581806,7.233369184787924,59.69834774824413,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.14018994276153762,0.0,1728.775235164314,0.7089406193080443,0.6380465573772399,0.0
0.05,0.0090423211290787,0.36168746824565645,1.3020748856843634,7.233231603033539,66.33111015059247,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.17307198205951546,0.0,1728.7423531250158,0.7877071993325684,0.7089364793993116,0.0
0.055,0.010941173865344902,0.39785362626082416,1.432273054538967,7.233079542820442,72.96374639498254,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.20941437298991822,0.0,1728.7060107340856,0.866472281183283,0.7798250530649548,0.0
0.06,0.013020855490934279,0.43401902397492637,1.562468486309735,7.232913005322798,79.59624320514236,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.2492168349267514,0.0,1728.6662082721487,0.9452357071994013,0.8507121364794612,0.0
0.065,0.015281362023375445,0.47018358900154034,1.6926609204055452,7.2327319918306685,86.22858730587663,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.29247905954570674,0.0,1728.6229460475297,1.0239973197329224,0.9215975877596303,0.0
0.07,0.017722689118281027,0.5063472489606937,1.8228500962584975,7.232536503749984,92.860765423173,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.339200710829273,0.0,1728.576224396246,1.1027569611498937,0.9924812650349044,0.0
0.075,0.020344832069381372,0.5425099314794436,1.953035753325997,7.232326542602523,99.49276428430831,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.3893814250723178,0.0,1728.526043682003,1.1815144738316712,1.0633630264485041,0.0
0.08,0.02314778580856112,0.5786715641924562,2.0832176310928427,7.232102110025888,106.12457061795482,51.0306904761905,51.0306904761905,1764.0722653570754,35.156840249999995,0.4430208108881409,0.0,1728.4724042961873,1.2602697001761836,1.1342427301585651,0.0
